,Unnamed: 0,index,Name/date,Location,index.1,ufcStats_Event_Url,ufcStats_id,date,ufcStats_Event_Name
0,0,1,"UFC Fight Night: Sandhagen vs. Song  September 17, 2022","Las Vegas, Nevada, USA",6,http://www.ufcstats.com/event-details/8d477c3fbe001f9d,8d477c3fbe001f9d,"September 17,2022",UFC Fight Night: Sandhagen vs. Song 
1,1,2,"UFC 279: Diaz vs. Ferguson  September 10, 2022","Las Vegas, Nevada, USA",7,http://www.ufcstats.com/event-details/93bf96be327fcd98,93bf96be327fcd98,"September 10,2022",UFC 279: Diaz vs. Ferguson 
2,2,3,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",8,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03,2022",UFC Fight Night: Gane vs. Tuivasa 
3,3,4,"UFC 278: Usman vs. Edwards  August 20, 2022","Salt Lake City, Utah, USA",9,http://www.ufcstats.com/event-details/4f853e98886283cf,4f853e98886283cf,"August 20,2022",UFC 278: Usman vs. Edwards 
4,4,5,"UFC Fight Night: Vera vs. Cruz  August 13, 2022","San Diego, California, USA",10,http://www.ufcstats.com/event-details/a23e63184c65f5b8,a23e63184c65f5b8,"August 13,2022",UFC Fight Night: Vera vs. Cruz 
5,5,6,"UFC Fight Night: Santos vs. Hill  August 06, 2022","Las Vegas, Nevada, USA",11,http://www.ufcstats.com/event-details/8f6a18831a120817,8f6a18831a120817,"August 06,2022",UFC Fight Night: Santos vs. Hill 
6,6,7,"UFC 277: Pena vs. Nunes 2  July 30, 2022","Dallas, Texas, USA",12,http://www.ufcstats.com/event-details/b0a6124751a56bc4,b0a6124751a56bc4,"July 30,2022",UFC 277: Pena vs. Nunes 2 
7,7,8,"UFC Fight Night: Blaydes vs. Aspinall  July 23, 2022","London, England, United Kingdom",13,http://www.ufcstats.com/event-details/319c15b8aac5bfde,319c15b8aac5bfde,"July 23,2022",UFC Fight Night: Blaydes vs. Aspinall 
8,8,9,"UFC Fight Night: Ortega vs. Rodriguez  July 16, 2022","Elmont, New York, USA",14,http://www.ufcstats.com/event-details/8fd76e1b49c00ae2,8fd76e1b49c00ae2,"July 16,2022",UFC Fight Night: Ortega vs. Rodriguez 
9,9,10,"UFC Fight Night: Dos Anjos vs. Fiziev  July 09, 2022","Las Vegas, Nevada, USA",15,http://www.ufcstats.com/event-details/31da66df48c0c1a0,31da66df48c0c1a0,"July 09,2022",UFC Fight Night: Dos Anjos vs. Fiziev 
10,10,11,"UFC 276: Adesanya vs. Cannonier  July 02, 2022","Las Vegas, Nevada, USA",16,http://www.ufcstats.com/event-details/4a9e305633f3ef47,4a9e305633f3ef47,"July 02,2022",UFC 276: Adesanya vs. Cannonier 
11,11,12,"UFC Fight Night: Tsarukyan vs. Gamrot  June 25, 2022","Las Vegas, Nevada, USA",17,http://www.ufcstats.com/event-details/eb42d4febfafefd1,eb42d4febfafefd1,"June 25,2022",UFC Fight Night: Tsarukyan vs. Gamrot 
12,12,13,"UFC Fight Night: Kattar vs. Emmett  June 18, 2022","Austin, Texas, USA",18,http://www.ufcstats.com/event-details/a0a680fe2f6cc8e6,a0a680fe2f6cc8e6,"June 18,2022",UFC Fight Night: Kattar vs. Emmett 
13,13,14,"UFC 275: Teixeira vs. Prochazka  June 11, 2022","Kallang, Singapore",19,http://www.ufcstats.com/event-details/3a24769a4855040a,3a24769a4855040a,"June 11,2022",UFC 275: Teixeira vs. Prochazka 
14,14,15,"UFC Fight Night: Volkov vs. Rozenstruik  June 04, 2022","Las Vegas, Nevada, USA",20,http://www.ufcstats.com/event-details/57591bbf1623574e,57591bbf1623574e,"June 04,2022",UFC Fight Night: Volkov vs. Rozenstruik 
15,15,16,"UFC Fight Night: Holm vs. Vieira  May 21, 2022","Las Vegas, Nevada, USA",21,http://www.ufcstats.com/event-details/a6c32678efd4f434,a6c32678efd4f434,"May 21,2022",UFC Fight Night: Holm vs. Vieira 
16,16,17,"UFC Fight Night: Blachowicz vs. Rakic  May 14, 2022","Las Vegas, Nevada, USA",22,http://www.ufcstats.com/event-details/60ba33c3f555a7a3,60ba33c3f555a7a3,"May 14,2022",UFC Fight Night: Blachowicz vs. Rakic 
17,17,18,"UFC 274: Oliveira vs. Gaethje  May 07, 2022","Phoenix, Arizona, USA",23,http://www.ufcstats.com/event-details/253d3f9e97ca149a,253d3f9e97ca149a,"May 07,2022",UFC 274: Oliveira vs. Gaethje 
18,18,19,"UFC Fight Night: Font vs. Vera  April 30, 2022","Las Vegas, Nevada, USA",24,http://www.ufcstats.com/event-details/6bf5a7d3e081ade2,6bf5a7d3e081ade2,"April 30,2022",UFC Fight Night: Font vs. Vera 
19,19,20,"UFC Fight Night: Lemos vs. Andrade  April 23, 2022","Las Vegas, Nevada, USA",25,http://www.ufcstats.com/event-details/236a37d96d476164,236a37d96d476164,"April 23,2022",UFC Fight Night: Lemos vs. Andrade 
