,Unnamed: 0,Fighter_A,Fighter_B,A_Kd,B_Kd,A_Sig_strike_land,A_Sig_strike_att,B_Sig_strike_land,B_Sig_strike_att,A_Sig_strike_percent,B_Sig_strike_percent,A_Total_Strikes,B_Total_Strikes,A_Total_Strikes_land,A_Total_Strikes_att,B_Total_Strikes_land,B_Total_Strikes_att,A_Total_Strikes_percent,B_Total_Strikes_percent,A_Takedowns_land,A_Takedowns_att,B_Takedowns_land,B_Takedowns_att,A_Takedown_percent,B_Takedown_percent,A_Sub_Attempts_land,A_Sub_Attempts_att,B_Sub_Attempts_land,B_Sub_Attempts_att,A_Rev,B_Rev,A_Ctrl_time_min,A_Ctrl_time_sec,B_Ctrl_time_min,B_Ctrl_time_sec,A_Ctrl_time_tot,B_Ctrl_time_tot,details,event_title,event_url,date,Winner
0,0,Holly Holm,Irene Aldana,0,0,154,301,69,185,0.51,0.37,187 of 342,92 of 210,187,342,92,210,0.5467836257309941,0.4380952380952381,5,14,0,0,0.3571428571428571,,0,,0,,0,0,5,16.0,0,3.0,316.0,3.0,Mike Bell                                     44 - 50.          Dave Tirelli                                     45 - 50.          Clemens Werner                                     45 - 50.,UFC Fight Night: Holm vs. Aldana,http://www.ufcstats.com/event-details/805ad1801eb26abb,"October 03, 2020",Holly Holm
1,0,Joshua Burkman,Josh Neer,1,0,35,88,19,39,0.39,0.48,60 of 113,42 of 64,60,113,42,64,0.5309734513274337,0.65625,4,7,1,3,0.5714285714285714,0.3333333333333333,0,,1,,0,1,6,45.0,3,10.0,405.0,190.0,Abe Belardo                                     28 - 29.          Chris Lee                                     27 - 30.          Tony Weeks                                     28 - 29.,UFC 61: Bitter Rivals,http://www.ufcstats.com/event-details/f70144caea5c4c80,"July 08, 2006",Joshua Burkman
2,0,Paddy Pimblett,Kazula Vargas,0,0,3,6,7,9,0.5,0.77,5 of 8,16 of 21,5,8,16,21,0.625,0.7619047619047619,1,2,0,0,0.5,,1,,0,,0,0,0,53.0,2,43.0,53.0,163.0,Rear Naked Choke,UFC Fight Night: Volkov vs. Aspinall,http://www.ufcstats.com/event-details/1d00756835ca67c9,"March 19, 2022",Paddy Pimblett
3,0,Greg Hardy,Ben Sosoli,0,0,54,105,26,97,0.51,0.26,54 of 105,26 of 97,54,105,26,97,0.5142857142857142,0.268041237113402,0,0,0,0,,,0,,0,,0,0,0,0.0,0,0.0,0.0,0.0,Illegal Inhaler Use by Hardy                Lars Borssen                                     28 - 29.          Sal D'amato                                     28 - 29.          Macel Varella                                     28 - 29.,UFC Fight Night: Reyes vs. Weidman,http://www.ufcstats.com/event-details/3ae10ac4df3df05c,"October 18, 2019",Ben Sosoli
4,0,Jared Rosholt,Josh Copeland,0,0,22,45,9,36,0.48,0.25,51 of 79,19 of 46,51,79,19,46,0.6455696202531646,0.4130434782608695,2,6,0,0,0.3333333333333333,,0,,0,,0,0,5,19.0,0,0.0,319.0,0.0,Punches to Head From Side Control,UFC 185: Pettis vs Dos Anjos,http://www.ufcstats.com/event-details/f54200f1dfb9b5d4,"March 14, 2015",Jared Rosholt
5,0,Alistair Overeem,Stefan Struve,0,0,17,25,2,5,0.68,0.4,24 of 32,4 of 7,24,32,4,7,0.75,0.5714285714285714,1,2,0,0,0.5,,0,,0,,0,0,2,40.0,0,0.0,160.0,0.0,Punch to Head On Ground,UFC on FOX: Dos Santos vs Miocic,http://www.ufcstats.com/event-details/d4a12dfa4067742f,"December 13, 2014",Alistair Overeem
6,0,Tony Ferguson,Katsunori Kikuno,1,0,38,67,22,44,0.56,0.5,40 of 69,23 of 46,40,69,23,46,0.5797101449275363,0.5,1,2,0,0,0.5,,1,,0,,0,1,0,37.0,0,23.0,37.0,23.0,Punch to Head At Distance,UFC 173: Barao vs Dillashaw,http://www.ufcstats.com/event-details/9ca265dfe8323db3,"May 24, 2014",Tony Ferguson
7,0,Rich Franklin,David Loiseau,2,1,127,244,21,72,0.52,0.29,211 of 339,26 of 78,211,339,26,78,0.6224188790560472,0.3333333333333333,5,6,1,1,0.8333333333333334,1.0,0,,0,,1,0,8,37.0,0,15.0,517.0,15.0,Nelson Hamilton                                     43 - 50.          Jeff Mullen                                     42 - 50.          Dalby Shirley                                     42 - 50.,UFC 58: USA vs Canada,http://www.ufcstats.com/event-details/0e9869d712e81f8f,"March 04, 2006",Rich Franklin
8,0,Carlos Condit,Rory MacDonald,0,0,72,170,29,70,0.42,0.41,149 of 261,40 of 82,149,261,40,82,0.5708812260536399,0.4878048780487805,0,2,3,8,0.0,0.375,1,,0,,1,1,4,7.0,3,48.0,247.0,228.0,Punches to Head From Half Guard,UFC 115: Liddell vs Franklin,http://www.ufcstats.com/event-details/cfb65863d5099327,"June 12, 2010",Carlos Condit
9,0,Caio Borralho,Jesse Murray,1,0,13,23,4,14,0.56,0.28,13 of 23,4 of 14,13,23,4,14,0.5652173913043478,0.2857142857142857,0,0,0,0,,,0,,0,,0,0,0,5.0,0,0.0,5.0,0.0,Punch to Head At Distance,DWCS 5.8,http://www.ufcstats.com/event-details/b4eeac608fc82f88,"October 19, 2021",Caio Borralho
