,0,odds_search,fighter_odds_url
0,Jailton Almeida,https://www.bestfightodds.com/search?query=Jailton Almeida,/fighters/Jailton-Almeida-12427
1,Irene Aldana,https://www.bestfightodds.com/search?query=Irene Aldana,/fighters/Irene-Aldana-5093
2,Chad Anheliger,https://www.bestfightodds.com/search?query=Chad Anheliger,/fighters/Chad-Anheliger-12270
3,Johnny Walker,https://www.bestfightodds.com/search?query=Johnny Walker,/fighters/Johnny-Walker-8542
4,Nate Diaz,https://www.bestfightodds.com/search?query=Nate Diaz,/fighters/Nate-Diaz-63
5,Khamzat Chimaev,https://www.bestfightodds.com/search?query=Khamzat Chimaev,/fighters/Khamzat-Chimaev-10189
6,Hakeem Dawodu,https://www.bestfightodds.com/search?query=Hakeem Dawodu,
7,Jake Collier,https://www.bestfightodds.com/search?query=Jake Collier,/fighters/Jake-Collier-3559
8,Norma Dumont,https://www.bestfightodds.com/search?query=Norma Dumont,/fighters/Norma-Dumont-9825
9,Denis Tiuliulin,https://www.bestfightodds.com/search?query=Denis Tiuliulin,/fighters/Denis-Tiuliulin-13474
10,Melissa Martinez,https://www.bestfightodds.com/search?query=Melissa Martinez,/fighters/Melissa-Martinez-7705
11,Darian Weeks,https://www.bestfightodds.com/search?query=Darian Weeks,
12,Li Jingliang,https://www.bestfightodds.com/search?query=Li Jingliang,/fighters/Jingliang-Li-4877
13,Abus Magomedov,https://www.bestfightodds.com/search?query=Abus Magomedov,/fighters/Abdulmanap-Magomedov-11004
14,Benoit Saint,https://www.bestfightodds.com/search?query=Benoit Saint,/fighters/Benoit-Saint-Denis-10992
15,Fares Ziam,https://www.bestfightodds.com/search?query=Fares Ziam,
16,Ciryl Gane,https://www.bestfightodds.com/search?query=Ciryl Gane,/fighters/Ciryl-Gane-9273
17,Nassourdine Imavov,https://www.bestfightodds.com/search?query=Nassourdine Imavov,/fighters/Nassourdine-Imavov-10307
18,Alessio Di,https://www.bestfightodds.com/search?query=Alessio Di,/fighters/Alessio-Di-Chirico-6204
19,Robert Whittaker,https://www.bestfightodds.com/search?query=Robert Whittaker,/fighters/Robert-Whittaker-3761
20,Charles Jourdain,https://www.bestfightodds.com/search?query=Charles Jourdain,/fighters/Charles-Jourdain-9131
21,Stephanie Egger,https://www.bestfightodds.com/search?query=Stephanie Egger,/fighters/Stephanie-Egger-7425
22,John Makdessi,https://www.bestfightodds.com/search?query=John Makdessi,/fighters/John-Makdessi-2163
23,William Gomis,https://www.bestfightodds.com/search?query=William Gomis,/fighters/William-Gomis-10345
24,Khalid Taha,https://www.bestfightodds.com/search?query=Khalid Taha,/fighters/Khalid-Taha-7359
25,Daniel Da,https://www.bestfightodds.com/search?query=Daniel Da,/fighters/Daniel-Kim-2734
26,Amir Albazi,https://www.bestfightodds.com/search?query=Amir Albazi,/fighters/Amir-Albazi-7189
27,Leonardo Santos,https://www.bestfightodds.com/search?query=Leonardo Santos,/fighters/Leonardo-Santos-1213
28,Aoriqileng Jay,https://www.bestfightodds.com/search?query=Aoriqileng Jay,
29,Kamaru Usman,https://www.bestfightodds.com/search?query=Kamaru Usman,/fighters/Kamaru-Usman-4664
30,Marcin Tybura,https://www.bestfightodds.com/search?query=Marcin Tybura,/fighters/Marcin-Tybura-6200
