,Unnamed: 0,W/L,Weight class,Method,Round,Time,Fighter1,Fighter2,F1_Kd,F2_Kd,F1_Str,F2_Str,F1_Td,F2_Td,F1_Sub,F2_Sub,fight_num,event_id,index,Name/date,Location,index,Event_url,id,date,event_name
0,0,win,Heavyweight,KO/TKO  Punches,3,4:23,Ciryl Gane,Tai Tuivasa,1,1,110,29,0,0,0,0,1,00a905a4a4a2b071,5,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",10,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03, 2022",UFC Fight Night: Gane vs. Tuivasa 
1,1,win,Middleweight,U-DEC,3,5:00,Robert Whittaker,Marvin Vettori,0,0,74,33,1,0,0,0,2,00a905a4a4a2b071,5,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",10,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03, 2022",UFC Fight Night: Gane vs. Tuivasa 
2,2,win,Middleweight,U-DEC,3,5:00,Nassourdine Imavov,Joaquin Buckley,0,0,51,46,2,0,2,0,3,00a905a4a4a2b071,5,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",10,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03, 2022",UFC Fight Night: Gane vs. Tuivasa 
3,3,win,Middleweight,KO/TKO  Punches,3,1:09,Roman Kopylov,Alessio Di Chirico,1,0,59,39,0,0,0,0,4,00a905a4a4a2b071,5,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",10,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03, 2022",UFC Fight Night: Gane vs. Tuivasa 
4,4,win,Featherweight,U-DEC,3,5:00,William Gomis,Jarno Errens,0,0,32,20,3,0,0,1,5,00a905a4a4a2b071,5,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",10,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03, 2022",UFC Fight Night: Gane vs. Tuivasa 
5,5,win,Featherweight,U-DEC,3,5:00,Nathaniel Wood,Charles Jourdain,0,0,97,86,5,1,0,0,6,00a905a4a4a2b071,5,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",10,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03, 2022",UFC Fight Night: Gane vs. Tuivasa 
6,6,win,Middleweight,KO/TKO  Punches,1,0:19,Abus Magomedov,Dustin Stoltzfus,1,0,7,0,0,0,0,0,7,00a905a4a4a2b071,5,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",10,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03, 2022",UFC Fight Night: Gane vs. Tuivasa 
7,7,win,Lightweight,U-DEC,3,5:00,Nasrat Haqparast,John Makdessi,1,0,64,73,2,0,0,0,8,00a905a4a4a2b071,5,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",10,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03, 2022",UFC Fight Night: Gane vs. Tuivasa 
8,8,win,Lightweight,U-DEC,3,5:00,Fares Ziam,Michal Figlak,0,0,60,28,3,1,0,0,9,00a905a4a4a2b071,5,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",10,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03, 2022",UFC Fight Night: Gane vs. Tuivasa 
9,9,win,Lightweight,KO/TKO  Punch,2,0:16,Benoit Saint Denis,Gabriel Miranda,3,0,42,20,1,1,0,0,10,00a905a4a4a2b071,5,"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022","Paris, Ile-de-France, France",10,http://www.ufcstats.com/event-details/00a905a4a4a2b071,00a905a4a4a2b071,"September 03, 2022",UFC Fight Night: Gane vs. Tuivasa 
